,name,code
1145,신세계인터내셔날,31430
1146,신세계푸드,31440
1147,신송홀딩스,6880
1148,신스틸,162300
1149,신신제약,2800
1150,신영스팩6호,344050
1151,신영스팩7호,419270
1152,신영스팩8호,430220
1153,신영스팩9호,445970
1154,신영와코루,5800
1155,신영증권,1720
1156,신원,9270
1157,신원종합개발,17000
1158,신일전자,2700
1159,신일제약,12790
1160,신진에스엠,138070
1161,신테카바이오,226330
1162,신풍,2870
1163,신풍제약,19170
1164,신한서부티엔디리츠,404990
1165,신한알파리츠,293940
1166,신한제10호스팩,418210
1167,신한제7호스팩,366330
1168,신한제8호스팩,393360
1169,신한제9호스팩,405640
1170,신한지주,55550
1171,신화인터텍,56700
1172,신화콘텍,187270
1173,신흥,4080
1174,신흥에스이씨,243840
1175,실리콘투,257720
1176,심텍,222800
1177,심텍홀딩스,36710
1178,싸이맥스,160980
1179,싸이버원,356890
1180,싸이토젠,217330
1181,쌍방울,102280
1182,쌍용C&E,3410
1183,쌍용정보통신,10280
1184,쌍용차,3620
1185,써니전자,4770
1186,썬테크,217320
1187,썸에이지,208640
1188,쎄노텍,222420
1189,쎄니트,37760
1190,쎄트렉아이,99320
1191,쎌마테라퓨틱스,15540
1192,쎌바이오텍,49960
1193,쏘카,403550
1194,쏠리드,50890
1195,씨씨에스,66790
1196,씨아이에스,222080
1197,씨아이테크,4920
1198,씨알푸드,236030
